gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
RVBD3497c:mce4C	7	7	NE	1391.84	1480.71	0.089	0.089	0.089	0.069	0.089	0.089	0.089	10.30	0.00976487	1.0000000000	1.0000000000
RVBD3498c:mce4B	12	11	NE	1216.35	1046.91	-0.216	-0.224	-0.129	-0.031	-0.018	-0.216	-0.018	-49.11	-0.06213745	0.5897000000	1.0000000000
RVBD3499c:mce4A	7	7	NE	1222.46	1214.65	-0.009	-0.116	-0.009	-0.009	-0.009	0.031	-0.009	-49.84	-0.06750067	1.0000000000	1.0000000000
RVBD3500c:yrbE4B	7	7	GA	1252.84	1195.62	-0.067	-0.077	-0.067	0.246	-0.067	0.222	-0.067	115.87	0.15870429	0.5340000000	1.0000000000
RVBD3501c:yrbE4A	8	8	NE	1116.55	1027.95	-0.119	-0.049	-0.119	0.073	-0.119	0.073	-0.119	-16.00	-0.01664467	0.9267500000	1.0000000000
RVBD3502c:RVBD3502c	12	12	NE	1489.45	1534.33	0.043	0.117	0.043	0.084	0.043	0.084	0.043	80.02	0.06664193	0.3052000000	1.0000000000
RVBD3503c:fdxD	3	3	NE	1990.65	1891.58	-0.074	-0.074	-0.074	-0.074	-0.074	-0.074	-0.074	-164.91	-0.38872483	0.3042500000	1.0000000000
RVBD3504:fadE26	12	12	NE	1224.22	1264.03	0.046	-0.167	0.028	0.178	0.029	0.086	0.029	90.72	0.12535373	0.5827000000	1.0000000000
RVBD3505:fadE27	13	13	NE	1417.05	1561.25	0.140	0.026	0.084	0.208	0.128	0.001	0.170	68.30	0.04941880	0.8886500000	1.0000000000
RVBD3506:fadD17	10	10	NE	1873.18	1759.57	-0.090	-0.257	-0.090	0.098	-0.090	0.098	-0.090	87.86	0.04259659	0.7935000000	1.0000000000
RVBD3507:PE-PGRS53	6	6	NE	1255.65	1186.17	-0.082	-0.119	-0.082	-0.119	-0.082	-0.276	-0.082	-76.56	-0.06546503	0.5425500000	1.0000000000
RVBD3508:PE-PGRS54	6	6	NE	1460.62	1389.55	-0.072	-0.157	-0.072	-0.047	-0.072	-0.157	-0.072	-101.02	-0.06057941	0.7335500000	1.0000000000
RVBD3509c:ilvX	8	8	NE	1044.96	1005.01	-0.056	-0.136	-0.056	-0.014	-0.056	-0.136	-0.056	-139.27	-0.17212670	0.7314000000	1.0000000000
RVBD3510c:RVBD3510c	9	9	NE	1088.64	1017.99	-0.097	-0.212	-0.097	0.182	-0.097	-0.097	-0.097	-7.54	-0.00805800	0.8785000000	1.0000000000
RVBD3511:PE-PGRS55	5	5	NE	1356.23	1179.94	-0.201	-0.201	-0.201	-0.201	-0.201	-0.201	-0.201	-31.08	-0.02742682	0.8636500000	1.0000000000
RVBD3513c:fadD18	5	5	GA	2154.43	2313.61	0.103	0.103	0.103	0.103	0.103	0.103	0.103	57.76	0.02078079	0.7746500000	1.0000000000
RVBD3514:PE-PGRS57	4	4	NE	417.62	382.24	-0.128	-0.128	-0.128	-0.128	-0.128	-0.128	-0.128	-13.81	-0.01913653	0.5327500000	1.0000000000
RVBD3515c:fadD19	15	14	NE	1226.18	1167.50	-0.071	-0.304	-0.144	0.215	-0.014	-0.103	-0.096	70.07	0.06158783	0.5423500000	1.0000000000
RVBD3516:echA19	8	8	NE	2230.08	2374.17	0.090	0.178	0.090	0.164	0.090	-0.058	0.090	-2.66	-0.00142644	0.9898000000	1.0000000000
RVBD3517:RVBD3517	6	6	NE	1617.75	1573.85	-0.040	0.201	-0.040	-0.140	-0.040	-0.140	-0.040	34.63	0.02970297	0.6375000000	1.0000000000
RVBD3518c:cyp142	15	15	NE	1222.43	1232.85	0.012	-0.271	-0.064	0.217	0.078	-0.062	0.046	-61.54	-0.04248482	0.6192000000	1.0000000000
RVBD3519:RVBD3519	9	9	NE	2476.18	2371.45	-0.062	-0.108	-0.062	0.016	-0.062	-0.058	-0.062	83.55	0.03487169	0.8127500000	1.0000000000
RVBD3520c:RVBD3520c	8	8	NE	1462.51	1455.49	-0.007	-0.020	-0.007	-0.019	-0.007	-0.020	-0.007	-1.00	-0.00075291	0.9761500000	1.0000000000
RVBD3521:RVBD3521	8	8	NE	2275.90	2223.96	-0.033	-0.027	-0.033	0.153	-0.033	-0.200	-0.033	158.63	0.07557692	0.4773500000	1.0000000000
RVBD3522:ltp4	7	7	NE	1708.98	1612.01	-0.084	-0.209	-0.084	0.115	-0.084	-0.126	-0.084	-92.47	-0.07721962	0.8459500000	1.0000000000
RVBD3523:ltp3	11	11	NE	873.95	821.33	-0.090	0.143	0.156	0.060	0.156	-0.024	0.156	-1.46	-0.00104519	0.9359000000	1.0000000000
RVBD3524:RVBD3524	13	13	GA	1609.77	1516.84	-0.086	0.030	-0.049	0.385	-0.049	-0.127	-0.080	-8.38	-0.00564282	1.0000000000	1.0000000000
RVBD3525c:RVBD3525c	6	6	GA	2843.91	2664.89	-0.094	0.096	-0.094	-0.011	-0.094	-0.011	-0.094	65.85	0.02027198	0.8711500000	1.0000000000
RVBD3526:kshA	10	10	NE	2084.85	1953.92	-0.094	-0.058	-0.094	0.009	-0.094	-0.058	-0.094	133.89	0.09284583	0.7201500000	1.0000000000
RVBD3527:RVBD3527	7	7	NE	2010.88	1855.89	-0.116	-0.169	-0.116	0.143	-0.116	0.143	-0.116	121.21	0.06174143	1.0000000000	1.0000000000
RVBD3528c:RVBD3528c	6	6	NE	3995.72	4046.94	0.018	0.062	0.018	0.040	0.018	0.062	0.018	301.71	0.08983019	0.7665000000	1.0000000000
RVBD3529c:RVBD3529c	6	6	NE	2635.12	2562.56	-0.040	0.100	-0.040	0.100	-0.040	0.100	-0.040	248.00	0.12249352	0.6009500000	1.0000000000
RVBD3530c:RVBD3530c	6	6	NE	2255.08	2058.71	-0.131	-0.243	-0.131	-0.068	-0.131	-0.131	-0.131	-37.26	-0.01875150	0.9731000000	1.0000000000
RVBD3531c:RVBD3531c	10	10	NE	797.79	791.39	-0.012	-0.399	-0.012	-0.003	-0.012	-0.163	-0.012	-88.67	-0.13362737	0.9964000000	1.0000000000
RVBD3532:PPE61	11	11	NE	1897.60	1528.95	-0.312	-0.312	-0.092	0.170	-0.144	-0.042	-0.092	175.08	0.06965478	0.6425500000	1.0000000000
RVBD3533c:PPE62	7	7	NE	865.40	823.69	-0.071	-0.169	-0.071	0.091	-0.071	-0.044	-0.071	-69.54	-0.23471424	0.4231500000	1.0000000000
RVBD3534c:hsaF	6	6	NE	2511.80	2689.12	0.098	-0.041	0.098	-0.041	0.098	0.116	0.098	33.04	0.01353765	0.9558500000	1.0000000000
RVBD3535c:hsaG	5	5	NE	1112.96	1231.31	0.146	0.146	0.146	0.146	0.146	0.146	0.146	-48.94	-0.04430983	0.7867000000	1.0000000000
RVBD3536c:hsaE	6	6	NE	1301.40	1439.29	0.145	0.178	0.145	0.178	0.145	0.178	0.145	188.37	0.12151167	0.6896500000	1.0000000000
RVBD3537:kstD	13	13	NE	1282.98	1312.98	0.033	-0.124	-0.041	0.020	-0.087	-0.037	-0.041	-42.21	-0.04456412	0.7675000000	1.0000000000
RVBD3538:RVBD3538	10	10	NE	1505.65	1660.02	0.141	-0.209	0.141	0.194	0.141	-0.209	0.141	-50.93	-0.03921802	0.9307000000	1.0000000000
RVBD3539:PPE63	7	7	NE	1658.88	1469.14	-0.175	0.014	-0.175	-0.175	-0.175	0.014	-0.175	85.04	0.05620218	0.5301500000	1.0000000000
RVBD3540c:ltp2	8	8	NE	2303.29	2256.71	-0.029	-0.144	-0.029	0.032	-0.029	0.032	-0.029	-36.13	-0.02076730	0.9687500000	1.0000000000
RVBD3541c:RVBD3541c	8	8	NE	2431.28	2496.58	0.038	-0.052	0.038	0.076	0.038	0.076	0.038	-90.42	-0.02457443	0.8626000000	1.0000000000
RVBD3542c:RVBD3542c	11	11	NE	1952.25	1862.73	-0.068	-0.274	-0.049	0.082	-0.049	-0.121	-0.049	-74.09	-0.04363650	0.6905500000	1.0000000000
RVBD3543c:fadE29	7	7	NE	1617.75	1748.82	0.112	0.023	0.112	0.112	0.112	0.129	0.112	-40.47	-0.03373381	0.7660500000	1.0000000000
RVBD3544c:fadE28	7	7	NE	1598.19	1765.83	0.144	0.081	0.144	0.081	0.144	0.144	0.144	-51.52	-0.02177305	0.6902500000	1.0000000000
RVBD3545c:cyp125	17	17	NE	1761.07	1835.81	0.060	0.065	-0.022	0.136	0.148	-0.065	0.119	-61.70	-0.04616524	1.0000000000	1.0000000000
RVBD3546:fadA5	6	6	NE	710.08	734.44	0.049	-0.085	0.049	0.140	0.049	-0.085	0.049	79.50	0.08869351	0.7594000000	1.0000000000
RVBD3547:ddn	8	8	NE	2000.84	1921.53	-0.058	-0.097	-0.058	0.050	-0.058	-0.123	-0.058	176.36	0.10632801	0.5259000000	1.0000000000
RVBD3548c:RVBD3548c	5	5	NE	1204.30	1254.38	0.059	0.059	0.059	0.059	0.059	0.059	0.059	-112.61	-0.08722275	0.6934500000	1.0000000000
RVBD3549c:RVBD3549c	8	8	NE	1857.79	1972.52	0.086	-0.037	0.086	0.134	0.086	0.069	0.086	54.56	0.03196862	0.9277500000	1.0000000000
RVBD3550:echA20	5	5	NE	2104.29	2145.88	0.028	0.028	0.028	0.028	0.028	0.028	0.028	-17.07	-0.01732107	0.6986500000	1.0000000000
RVBD3551:RVBD3551	9	9	NE	1757.63	2157.44	0.296	-0.230	0.296	0.296	0.296	0.296	0.296	-54.54	-0.01209955	0.9575500000	1.0000000000
RVBD3552:RVBD3552	6	6	NE	1865.42	2058.92	0.142	-0.179	0.142	0.017	0.142	0.017	0.142	-83.07	-0.08653574	0.5918000000	1.0000000000
RVBD3553:RVBD3553	6	6	NE	1871.41	1921.95	0.038	-0.278	0.038	-0.154	0.038	-0.278	0.038	-45.98	-0.02280813	0.8094500000	1.0000000000
RVBD3554:fdxB	21	21	NE	1132.89	1219.42	0.106	-0.232	-0.155	0.236	0.239	-0.113	0.053	72.55	0.09062573	0.8035000000	1.0000000000
RVBD3555c:RVBD3555c	5	5	NE	2031.11	1943.48	-0.064	-0.064	-0.064	-0.064	-0.064	-0.064	-0.064	13.80	0.00900922	0.8655500000	1.0000000000
RVBD3556c:fadA6	7	7	NE	1173.35	1338.38	0.190	0.038	0.190	0.190	0.190	0.038	0.190	102.78	0.04662063	0.6309500000	1.0000000000
RVBD3557c:RVBD3557c	7	7	NE	2977.89	3279.55	0.139	-0.000	0.139	0.036	0.139	0.139	0.139	93.01	0.03627735	0.7657500000	1.0000000000
RVBD3558:PPE64	11	11	NE	1193.58	1341.90	0.169	0.018	0.173	0.170	0.173	0.064	0.173	-4.60	-0.00461533	0.9683000000	1.0000000000
RVBD3559c:RVBD3559c	7	7	NE	1827.63	1856.67	0.023	0.033	0.023	0.040	0.023	0.061	0.023	96.58	0.22303413	0.6815000000	1.0000000000
RVBD3560c:fadE30	10	10	NE	1240.63	1324.26	0.094	-0.021	0.094	-0.002	0.094	0.128	0.094	43.69	0.03773616	0.9709500000	1.0000000000
RVBD3561:fadD3	11	11	NE	1901.64	1981.17	0.059	-0.094	0.110	0.345	0.110	0.009	-0.078	132.45	0.07799771	0.3269000000	1.0000000000
RVBD3562:fadE31	8	7	NE	2544.96	2643.30	0.055	-0.083	0.055	0.132	0.055	0.055	0.055	-127.28	-0.13925432	1.0000000000	1.0000000000
RVBD3563:fadE32	6	6	NE	1137.73	1171.27	0.042	-0.094	0.042	0.048	0.042	0.029	0.042	28.64	0.02680840	0.9078500000	1.0000000000
RVBD3564:fadE33	7	7	NE	1591.62	1604.32	0.011	0.007	0.011	0.053	0.011	0.053	0.011	34.27	0.03508531	1.0000000000	1.0000000000
RVBD3565:aspB	16	16	NE	1817.20	1714.68	-0.084	-0.163	-0.084	0.167	0.106	0.169	-0.084	48.43	0.02778022	0.8355500000	1.0000000000
RVBD3566A:RVBD3566A	2	2	Uncertain	526.85	264.00	-0.997	-0.997	-0.997	-0.997	-0.997	-0.997	-0.997	-84.69	-0.15499408	0.3270000000	1.0000000000
RVBD3566c:nat	6	6	NE	1709.63	1904.48	0.156	0.100	0.156	0.100	0.156	0.100	0.156	118.24	0.05536627	0.5285000000	1.0000000000
RVBD3567c:hsaB	9	9	NE	1234.60	1546.58	0.325	-0.148	0.325	0.325	0.325	0.325	0.325	61.64	0.04680769	0.4927500000	1.0000000000
RVBD3568c:hsaC	12	12	NE	1191.56	1209.01	0.021	-0.133	-0.054	-0.076	-0.028	-0.133	0.021	-23.82	-0.01822673	0.7580500000	1.0000000000
RVBD3569c:hsaD	6	6	NE	3078.73	3024.68	-0.026	-0.090	-0.026	-0.114	-0.026	-0.090	-0.026	-9.31	-0.00412105	1.0000000000	1.0000000000
RVBD3570c:hsaA	8	8	NE	1986.90	1870.93	-0.087	-0.083	-0.087	0.248	-0.087	-0.260	-0.087	78.34	0.05069473	0.6142000000	1.0000000000
RVBD3571:kshB	9	9	NE	1946.17	1694.72	-0.200	-0.348	-0.200	-0.126	-0.200	-0.348	-0.200	148.23	0.07975786	0.6851000000	1.0000000000
RVBD3572:RVBD3572	8	8	NE	1474.24	1350.28	-0.127	0.132	-0.127	0.188	-0.127	0.200	-0.127	120.97	0.09962917	0.7581500000	1.0000000000
RVBD3573c:fadE34	18	18	NE	1073.82	1123.84	0.066	-0.017	-0.187	0.221	0.158	0.226	0.125	47.29	0.04769622	0.9083500000	1.0000000000
RVBD3574:kstR	6	6	NE	989.88	1092.87	0.143	0.206	0.143	0.206	0.143	0.092	0.143	78.79	0.09283325	0.7015000000	1.0000000000
RVBD3575c:RVBD3575c	8	8	NE	1389.88	1445.81	0.057	0.039	0.057	0.028	0.057	0.084	0.057	-32.91	-0.04312360	0.9309000000	1.0000000000
RVBD3576:lppH	7	7	NE	2472.13	2541.07	0.040	-0.129	0.040	0.117	0.040	-0.075	0.040	129.51	0.08891417	0.7300500000	1.0000000000
RVBD3577:RVBD3577	8	8	NE	1011.53	1070.87	0.082	-0.168	0.082	0.107	0.082	0.111	0.082	127.95	0.12052458	0.7449500000	1.0000000000
RVBD3578:arsB2	10	10	NE	1495.93	1495.80	-0.000	-0.173	-0.000	0.051	-0.000	0.002	-0.000	-200.91	-0.20934843	0.6983500000	1.0000000000
RVBD3579c:RVBD3579c	96	96	ES	897.14	923.29	0.041	-0.850	-0.282	0.501	0.325	-0.387	-0.191	-3.33	-0.00395208	0.9978000000	1.0000000000
RVBD3580c:cysS1	116	114	ES	280.80	203.51	-0.464	-1.423	-1.179	0.365	0.165	-0.548	-0.569	-33.87	-0.10764936	0.0009500000	0.0461787356
RVBD3581c:ispF	43	42	ES	775.73	783.43	0.014	-0.588	-0.338	0.257	0.216	-0.009	-0.041	-42.60	-0.05420237	0.8168000000	1.0000000000
RVBD3582c:ispD	84	84	ES	988.87	963.65	-0.037	-0.820	-0.435	0.121	0.252	-0.290	-0.283	-27.10	-0.03990969	0.4995500000	1.0000000000
RVBD3583c:RVBD3583c	36	34	GD	128.28	80.87	-0.666	-1.032	-1.293	-0.148	-0.473	-0.880	-1.116	-31.20	-0.25561051	0.0014000000	0.0623221053
RVBD3584:lpqE	6	6	NE	2229.21	2112.84	-0.077	-0.006	-0.077	-0.146	-0.077	-0.006	-0.077	-47.10	-0.03916055	0.6961500000	1.0000000000
RVBD3585:radA	7	7	NE	1918.41	2177.10	0.182	-0.097	0.182	0.158	0.182	0.182	0.182	-157.69	-0.12789427	0.6515500000	1.0000000000
RVBD3586:RVBD3586	5	5	NE	3630.81	3545.23	-0.034	-0.034	-0.034	-0.034	-0.034	-0.034	-0.034	299.29	0.08406272	0.7599500000	1.0000000000
RVBD3587c:RVBD3587c	60	58	ES	476.23	108.78	-2.130	-3.848	-3.175	0.333	0.110	-2.972	-2.707	-73.86	-0.15519012	0.0000500000	0.0041460784
RVBD3588c:canB	6	6	NE	2245.11	2210.72	-0.022	-0.009	-0.022	-0.009	-0.022	-0.009	-0.022	71.03	0.03390021	0.8391000000	1.0000000000
RVBD3589:mutY	7	7	NE	2087.76	2148.06	0.041	0.041	0.041	0.041	0.041	0.005	0.041	68.42	0.03884149	0.7620000000	1.0000000000
RVBD3590c:PE-PGRS58	6	6	NE	1939.66	1873.32	-0.050	0.097	-0.050	-0.134	-0.050	0.097	-0.050	56.45	0.02634929	0.7987000000	1.0000000000
RVBD3591c:RVBD3591c	8	8	NE	970.53	938.86	-0.048	-0.153	-0.048	0.207	-0.048	-0.018	-0.048	-9.98	-0.00988653	0.9303000000	1.0000000000
RVBD3592:mhuD	5	5	NE	1974.47	1833.54	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107	-0.107	-382.00	-0.39571942	0.7112000000	1.0000000000
RVBD3593:lpqF	15	15	NE	1089.32	975.53	-0.159	-0.265	-0.171	0.051	-0.165	-0.282	-0.195	-1.90	-0.00145772	0.9836500000	1.0000000000
RVBD3594:RVBD3594	7	7	NE	2120.13	2034.34	-0.060	-0.060	-0.060	-0.060	-0.060	-0.060	-0.060	71.10	0.04313713	1.0000000000	1.0000000000
RVBD3595c:PE-PGRS59	5	5	NE	1408.02	1179.94	-0.255	-0.255	-0.255	-0.255	-0.255	-0.255	-0.255	-69.57	-0.07894155	0.9470500000	1.0000000000
RVBD3596c:clpC1	182	174	ES	102.88	83.28	-0.305	-1.754	-1.488	1.513	1.148	-0.295	-0.453	-1.34	-0.01052715	0.6563500000	1.0000000000
RVBD3597c:lsr2	17	17	GD	942.67	922.00	-0.032	-0.461	-0.156	0.073	0.060	-0.583	-0.235	-97.27	-0.12193228	0.2552000000	1.0000000000
RVBD3598c:lysS	157	152	ES	198.98	156.12	-0.350	-1.354	-1.149	0.968	0.749	-0.781	-0.587	-21.22	-0.09203713	0.0096000000	0.2978821168
RVBD3600c:RVBD3600c	9	8	NE	1061.64	953.30	-0.155	-0.094	-0.155	-0.062	-0.155	-0.118	-0.155	127.28	0.14155984	0.8184000000	1.0000000000
RVBD3601c:panD	36	35	ES	1003.49	974.43	-0.042	-0.110	-0.076	0.700	0.697	0.788	0.515	129.20	0.13325593	0.1025500000	1.0000000000
RVBD3602c:panC	107	104	ES	814.11	926.96	0.187	-0.444	-0.072	0.898	0.860	0.548	0.565	88.05	0.11325740	0.0243000000	0.5732644444
RVBD3603c:RVBD3603c	64	64	ESD	903.95	1006.58	0.155	-0.145	-0.136	0.828	0.704	0.172	0.262	77.45	0.08409615	0.3228000000	1.0000000000
RVBD3604c:RVBD3604c	90	89	GD	717.65	630.53	-0.187	-0.720	-0.499	0.268	0.043	-0.369	-0.466	-37.34	-0.04826934	0.4843000000	1.0000000000
RVBD3605c:RVBD3605c	6	6	NE	1167.86	1258.00	0.107	0.041	0.107	0.173	0.107	0.173	0.107	-49.68	-0.04629603	0.8720000000	1.0000000000
RVBD3606c:folK	65	65	GD	930.51	945.79	0.024	-0.459	-0.204	0.243	0.328	0.137	-0.009	2.03	0.00270879	0.8127500000	1.0000000000
RVBD3607c:folB	11	11	GD	1386.64	1561.69	0.172	-0.001	0.088	0.119	0.159	0.039	0.137	239.40	0.23171507	0.5883500000	1.0000000000
RVBD3608c:folP1	82	82	ESD	718.17	716.82	-0.003	-0.742	-0.462	0.498	0.351	-0.480	-0.153	-21.74	-0.02822184	0.3898500000	1.0000000000
RVBD3609c:folE	52	52	ES	421.23	348.49	-0.274	-0.773	-0.517	0.435	0.176	-0.544	-0.414	-31.70	-0.08655079	0.1330000000	1.0000000000
RVBD3610c:ftsH	14	14	NE	300.73	214.48	-0.488	-1.006	-0.488	-0.127	-0.220	-0.449	-0.569	-2.49	-0.01103451	0.8783500000	1.0000000000
RVBD3611:RVBD3611	4	4	NE	2082.43	2045.77	-0.026	-0.026	-0.026	-0.026	-0.026	-0.026	-0.026	-1.44	-0.00092073	0.9428000000	1.0000000000
RVBD3612c:RVBD3612c	7	7	NE	735.89	734.57	-0.003	0.080	-0.003	0.080	-0.003	0.166	-0.003	26.28	0.02527416	0.8422000000	1.0000000000
RVBD3613c:RVBD3613c	6	6	Uncertain	1675.53	1624.60	-0.045	-0.128	-0.045	0.023	-0.045	-0.047	-0.045	47.32	0.05430706	0.9577500000	1.0000000000
RVBD3614c:espD	7	7	NE	1815.53	2024.41	0.157	-0.311	0.157	0.076	0.157	0.210	0.157	-160.25	-0.07992167	0.4192000000	1.0000000000
RVBD3615c:espC	41	41	NE	1458.48	1504.94	0.045	-0.187	-0.080	0.244	0.286	-0.119	0.081	92.48	0.08295696	0.4765500000	1.0000000000
RVBD3616c:espA	14	14	NE	2019.15	2125.63	0.074	-0.108	-0.039	0.037	0.019	0.037	0.019	69.03	0.03150494	0.8834000000	1.0000000000
RVBD3617:ephA	12	12	NE	918.35	883.73	-0.055	-0.075	-0.046	0.190	0.004	-0.086	-0.046	89.31	0.21966885	0.2940000000	1.0000000000
RVBD3618:RVBD3618	5	5	NE	1763.71	1738.91	-0.020	-0.020	-0.020	-0.020	-0.020	-0.020	-0.020	-72.09	-0.03912871	0.8114000000	1.0000000000
RVBD3620c:esxW	2	2	NE	701.27	759.70	0.115	0.115	0.115	0.115	0.115	0.115	0.115	49.88	0.08476023	0.6948500000	1.0000000000
RVBD3621c:PPE65	7	7	NE	950.13	909.83	-0.063	-0.034	-0.063	-0.033	-0.063	-0.056	-0.063	116.17	0.10860827	0.8475000000	1.0000000000
RVBD3622c:PE32	5	5	NE	1836.69	2248.49	0.292	0.292	0.292	0.292	0.292	0.292	0.292	9.10	0.00462023	0.9047500000	1.0000000000
RVBD3623:lpqG	53	53	NE	1198.25	1261.06	0.074	-0.234	-0.162	0.396	0.296	-0.036	-0.020	19.00	0.01736254	0.8512500000	1.0000000000
RVBD3624c:hpt	71	69	ES	443.97	382.24	-0.216	-1.169	-0.541	0.590	0.338	-0.022	-0.020	-26.03	-0.06187692	0.2724000000	1.0000000000
RVBD3625c:mesJ	57	57	ES	1125.63	1141.33	0.020	-0.296	-0.275	0.210	0.197	0.001	-0.236	-41.89	-0.04418740	0.8026500000	1.0000000000
RVBD3626c:RVBD3626c	7	6	NE	445.53	328.40	-0.440	-0.402	-0.440	-0.370	-0.440	-0.402	-0.440	-138.35	-0.54884048	0.0195000000	0.5023539394
RVBD3627c:RVBD3627c	90	89	GD	1116.71	1093.18	-0.031	-0.956	-0.377	0.331	0.216	-0.766	-0.381	-45.16	-0.04325498	0.4422500000	1.0000000000
RVBD3628:ppa	48	48	ES	1328.55	1205.31	-0.140	-0.597	-0.474	0.166	0.248	-0.072	-0.433	-89.97	-0.07155714	0.2848500000	1.0000000000
RVBD3629c:RVBD3629c	17	17	NE	901.71	960.15	0.091	-0.156	-0.054	0.297	0.107	0.040	0.200	-50.87	-0.04878770	0.7114500000	1.0000000000
RVBD3630:RVBD3630	16	16	NE	1149.08	1120.17	-0.037	-0.092	-0.063	0.420	-0.068	-0.194	-0.234	7.36	0.00479926	0.9189000000	1.0000000000
RVBD3631:RVBD3631	5	5	NE	2615.16	2423.51	-0.110	-0.110	-0.110	-0.110	-0.110	-0.110	-0.110	53.59	0.01876589	0.7612000000	1.0000000000
RVBD3632:RVBD3632	6	6	NE	1539.52	1674.86	0.122	0.131	0.122	0.131	0.122	0.354	0.122	-30.75	-0.02315943	0.8103000000	1.0000000000
RVBD3633:RVBD3633	5	5	NE	2033.39	2159.26	0.087	0.087	0.087	0.087	0.087	0.087	0.087	-161.57	-0.07712105	0.7069000000	1.0000000000
RVBD3634c:galE1	41	41	ES	974.34	618.63	-0.655	-0.704	-0.798	-0.006	0.091	-0.882	-0.813	-148.68	-0.17093823	0.0792500000	1.0000000000
RVBD3635:RVBD3635	231	230	GD	1096.93	1040.00	-0.077	-0.909	-0.551	0.409	0.297	-0.204	-0.100	-56.52	-0.06241018	0.2799000000	1.0000000000
RVBD3637:RVBD3637	7	7	NE	1422.17	1588.22	0.159	0.063	0.159	0.159	0.159	0.159	0.159	60.19	0.04979449	0.7218500000	1.0000000000
RVBD3638:RVBD3638	6	6	NE	2417.51	2466.94	0.029	-0.078	0.029	-0.078	0.029	-0.078	0.029	-65.17	-0.03483960	0.9103000000	1.0000000000
RVBD3639c:RVBD3639c	8	8	NE	1520.85	1457.58	-0.061	-0.044	-0.061	-0.077	-0.061	-0.413	-0.061	41.27	0.05339151	0.9439000000	1.0000000000
RVBD3640c:RVBD3640c	18	17	NE	802.79	815.55	0.023	-0.245	-0.143	0.392	0.214	0.205	-0.016	37.76	0.07110574	0.6414000000	1.0000000000
RVBD3641c:fic	9	9	NE	1712.65	1507.41	-0.184	-0.105	-0.184	0.085	-0.184	-0.092	-0.184	-135.65	-0.12397753	0.3114500000	1.0000000000
RVBD3642c:RVBD3642c	1	1	NE	999.37	1044.42	0.064	0.064	0.064	0.064	0.064	0.064	0.064	48.33	0.33144631	0.6005500000	1.0000000000
RVBD3644c:RVBD3644c	110	109	ES	962.23	908.09	-0.084	-0.324	-0.519	0.287	0.179	-0.118	-0.143	-52.59	-0.06149090	0.6943500000	1.0000000000
RVBD3645:RVBD3645	184	182	ES	778.47	613.42	-0.344	-1.810	-1.079	0.641	0.134	-0.642	-0.898	-116.13	-0.17747877	0.0000500000	0.0041460784
RVBD3646c:topA	187	184	ES	405.47	434.23	0.099	-1.513	-0.805	0.579	0.420	-0.517	-0.180	-21.02	-0.04602940	0.1135500000	1.0000000000
RVBD3647c:RVBD3647c	7	7	NE	1337.99	1320.54	-0.019	-0.019	-0.019	0.012	-0.019	0.012	-0.019	-38.83	-0.02636344	0.8415000000	1.0000000000
RVBD3648c:cspA	15	13	NE	615.00	516.83	-0.251	-0.851	-0.311	-0.165	-0.066	-0.312	-0.249	-103.03	-0.17772605	0.6554500000	1.0000000000
RVBD3649:RVBD3649	10	10	NE	1434.57	1603.95	0.161	0.014	0.161	0.233	0.161	0.167	0.161	6.63	0.00542844	0.9578000000	1.0000000000
RVBD3650:PE33	5	5	NE	1010.65	945.79	-0.096	-0.096	-0.096	-0.096	-0.096	-0.096	-0.096	-167.36	-0.26005718	0.7504500000	1.0000000000
RVBD3651:RVBD3651	6	6	NE	1185.37	1145.24	-0.050	-0.064	-0.050	-0.064	-0.050	-0.020	-0.050	54.40	0.03972017	0.8672000000	1.0000000000
RVBD3652:PE-PGRS60	5	5	NE	1579.51	1550.12	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	-0.027	-196.85	-0.16700130	0.6832000000	1.0000000000
RVBD3653:PE-PGRS61	5	5	NE	1398.81	1326.49	-0.077	-0.077	-0.077	-0.077	-0.077	-0.077	-0.077	-32.96	-0.04655253	0.9608500000	1.0000000000
RVBD3654c:RVBD3654c	5	5	Uncertain	2342.66	2282.65	-0.037	-0.037	-0.037	-0.037	-0.037	-0.037	-0.037	8.51	0.00348273	0.9442000000	1.0000000000
RVBD3655c:RVBD3655c	5	5	NE	419.64	376.85	-0.155	-0.155	-0.155	-0.155	-0.155	-0.155	-0.155	-41.05	-0.04841796	0.2329500000	1.0000000000
RVBD3656c:RVBD3656c	5	5	NE	1458.48	1502.03	0.042	0.042	0.042	0.042	0.042	0.042	0.042	-55.87	-0.02878724	0.6509500000	1.0000000000
RVBD3657c:RVBD3657c	6	6	NE	767.47	707.12	-0.118	-0.099	-0.118	-0.096	-0.118	-0.165	-0.118	-41.19	-0.06256379	0.9121500000	1.0000000000
RVBD3658c:RVBD3658c	7	7	NE	1636.00	1561.69	-0.067	-0.006	-0.067	-0.006	-0.067	-0.115	-0.067	228.27	0.20091601	0.6307500000	1.0000000000
RVBD3659c:RVBD3659c	6	6	NE	2298.15	2157.71	-0.091	-0.039	-0.091	-0.039	-0.091	-0.039	-0.091	201.97	0.08684281	0.8290000000	1.0000000000
